Category_1,Category_2,Percentage
0-4,Female,3.1
0-4,Male,3.2
10-14,Female,3.4
10-14,Male,3.5
15-19,Female,3.5
15-19,Male,3.6
20-24,Female,3.7
20-24,Male,3.8
25-29,Female,3.8
25-29,Male,3.9
30-34,Female,3.8
30-34,Male,3.8
35-39,Female,4.0
35-39,Male,4.0
40-44,Female,3.9
40-44,Male,3.8
45-49,Female,3.5
45-49,Male,3.4
5-9,Female,3.3
5-9,Male,3.5
50-54,Female,3.1
50-54,Male,3.0
55-59,Female,2.9
55-59,Male,2.7
60-64,Female,2.6
60-64,Male,2.4
65-69,Female,2.1
65-69,Male,1.8
70-74,Female,1.6
70-74,Male,1.3
75-79,Female,1.1
75-79,Male,0.8
80-84,Female,0.7
80-84,Male,0.5
85+,Female,0.5
85+,Male,0.3
