Category_1,Category_2,Percentage
0-4,Female,2.0
0-4,Male,2.2
10-14,Female,2.1
10-14,Male,2.3
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.0
15-19,Male,2.2
20-24,Female,2.3
20-24,Male,2.6
25-29,Female,3.3
25-29,Male,4.1
30-34,Female,4.3
30-34,Male,5.1
35-39,Female,4.0
35-39,Male,4.8
40-44,Female,3.7
40-44,Male,4.4
45-49,Female,3.3
45-49,Male,3.8
5-9,Female,2.2
5-9,Male,2.4
50-54,Female,2.8
50-54,Male,3.1
55-59,Female,2.6
55-59,Male,2.8
60-64,Female,2.9
60-64,Male,3.0
65-69,Female,2.8
65-69,Male,2.8
70-74,Female,2.7
70-74,Male,2.5
75-79,Female,2.4
75-79,Male,2.1
80-84,Female,1.3
80-84,Male,0.9
85-89,Female,0.9
85-89,Male,0.6
90-94,Female,0.4
90-94,Male,0.2
95-99,Female,0.1
95-99,Male,0.0
