Category_1,Category_2,Percentage
0-4,Female,4.7
0-4,Male,4.9
10-14,Female,5.8
10-14,Male,6.1
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.9
15-19,Male,6.1
20-24,Female,5.7
20-24,Male,5.8
25-29,Female,4.3
25-29,Male,4.4
30-34,Female,3.1
30-34,Male,3.2
35-39,Female,3.0
35-39,Male,3.0
40-44,Female,2.8
40-44,Male,2.7
45-49,Female,2.5
45-49,Male,2.4
5-9,Female,4.3
5-9,Male,4.5
50-54,Female,2.2
50-54,Male,2.0
55-59,Female,1.8
55-59,Male,1.6
60-64,Female,1.4
60-64,Male,1.2
65-69,Female,1.1
65-69,Male,0.9
70-74,Female,0.7
70-74,Male,0.6
75-79,Female,0.4
75-79,Male,0.4
80-84,Female,0.2
80-84,Male,0.2
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
