Category_1,Category_2,Percentage
0-4,Female,3.1
0-4,Male,3.3
10-14,Female,3.4
10-14,Male,3.6
15-19,Female,2.8
15-19,Male,3.0
20-24,Female,2.7
20-24,Male,2.9
25-29,Female,3.0
25-29,Male,3.0
30-34,Female,3.7
30-34,Male,3.6
35-39,Female,3.8
35-39,Male,3.6
40-44,Female,3.5
40-44,Male,3.2
45-49,Female,3.4
45-49,Male,2.9
5-9,Female,3.7
5-9,Male,3.9
50-54,Female,3.3
50-54,Male,2.7
55-59,Female,3.4
55-59,Male,2.6
60-64,Female,3.7
60-64,Male,2.7
65-69,Female,3.1
65-69,Male,2.1
70-74,Female,2.6
70-74,Male,1.6
75-79,Female,1.5
75-79,Male,0.8
80-84,Female,1.4
80-84,Male,0.6
85+,Female,1.3
85+,Male,0.3
