Category_1,Category_2,Percentage
0-4,Female,2.5
0-4,Male,2.7
10-14,Female,2.3
10-14,Male,2.4
15-19,Female,1.7
15-19,Male,2.0
20-24,Female,1.5
20-24,Male,3.9
25-29,Female,2.6
25-29,Male,9.7
30-34,Female,3.9
30-34,Male,12.3
35-39,Female,3.7
35-39,Male,12.2
40-44,Female,2.8
40-44,Male,9.3
45-49,Female,1.8
45-49,Male,6.0
5-9,Female,2.6
5-9,Male,2.7
50-54,Female,1.2
50-54,Male,3.9
55-59,Female,0.8
55-59,Male,2.2
60-64,Female,0.5
60-64,Male,1.2
65-69,Female,0.3
65-69,Male,0.5
70-74,Female,0.2
70-74,Male,0.2
75-79,Female,0.1
75-79,Male,0.1
80-84,Female,0.0
80-84,Male,0.0
85+,Female,0.0
85+,Male,0.0
