Category_1,Category_2,Percentage
0-4,Female,4.3
0-4,Male,4.6
10-14,Female,4.5
10-14,Male,4.6
15-19,Female,4.4
15-19,Male,4.3
20-24,Female,4.0
20-24,Male,4.0
25-29,Female,4.0
25-29,Male,4.0
30-34,Female,3.9
30-34,Male,3.9
35-39,Female,3.7
35-39,Male,3.7
40-44,Female,3.5
40-44,Male,3.5
45-49,Female,2.8
45-49,Male,2.8
5-9,Female,4.6
5-9,Male,4.8
50-54,Female,2.5
50-54,Male,2.5
55-59,Female,2.4
55-59,Male,2.3
60-64,Female,2.0
60-64,Male,1.9
65-69,Female,1.5
65-69,Male,1.3
70-74,Female,1.0
70-74,Male,0.8
75-79,Female,0.7
75-79,Male,0.4
80-84,Female,0.3
80-84,Male,0.2
85+,Female,0.2
85+,Male,0.1
