Category_1,Category_2,Percentage
0-4,Female,3.4
0-4,Male,3.8
10-14,Female,4.1
10-14,Male,4.2
15-19,Female,3.5
15-19,Male,3.6
20-24,Female,3.2
20-24,Male,3.2
25-29,Female,3.5
25-29,Male,3.5
30-34,Female,4.3
30-34,Male,4.4
35-39,Female,4.2
35-39,Male,4.2
40-44,Female,3.7
40-44,Male,3.7
45-49,Female,3.3
45-49,Male,3.2
5-9,Female,4.0
5-9,Male,4.2
50-54,Female,3.1
50-54,Male,3.0
55-59,Female,2.9
55-59,Male,2.6
60-64,Female,2.6
60-64,Male,2.1
65-69,Female,2.0
65-69,Male,1.5
70-74,Female,1.4
70-74,Male,0.9
75-79,Female,0.8
75-79,Male,0.5
80-84,Female,0.5
80-84,Male,0.3
85+,Female,0.6
85+,Male,0.2
