Category_1,Category_2,Percentage
0-4,Female,6.3
0-4,Male,6.7
10-14,Female,5.6
10-14,Male,6.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.9
15-19,Male,5.3
20-24,Female,4.6
20-24,Male,4.7
25-29,Female,3.8
25-29,Male,3.9
30-34,Female,3.3
30-34,Male,3.3
35-39,Female,3.2
35-39,Male,3.2
40-44,Female,2.7
40-44,Male,2.8
45-49,Female,2.3
45-49,Male,2.4
5-9,Female,6.2
5-9,Male,6.6
50-54,Female,1.8
50-54,Male,2.0
55-59,Female,1.4
55-59,Male,1.4
60-64,Female,1.0
60-64,Male,1.0
65-69,Female,0.7
65-69,Male,0.7
70-74,Female,0.5
70-74,Male,0.5
75-79,Female,0.3
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.2
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
