Category_1,Category_2,Percentage
0-4,Female,2.5
0-4,Male,2.6
10-14,Female,3.0
10-14,Male,3.1
100+,Female,0.1
100+,Male,0.0
15-19,Female,3.1
15-19,Male,3.4
20-24,Female,2.5
20-24,Male,2.6
25-29,Female,2.3
25-29,Male,1.9
30-34,Female,2.7
30-34,Male,2.1
35-39,Female,2.9
35-39,Male,2.0
40-44,Female,3.2
40-44,Male,2.1
45-49,Female,3.6
45-49,Male,2.6
5-9,Female,2.7
5-9,Male,2.6
50-54,Female,4.3
50-54,Male,3.2
55-59,Female,4.5
55-59,Male,3.6
60-64,Female,4.2
60-64,Male,3.8
65-69,Female,3.7
65-69,Male,3.2
70-74,Female,3.3
70-74,Male,2.7
75-79,Female,2.5
75-79,Male,1.9
80-84,Female,1.7
80-84,Male,1.1
85-89,Female,1.1
85-89,Male,0.6
90-94,Female,0.7
90-94,Male,0.3
95-99,Female,0.3
95-99,Male,0.1
