Category_1,Category_2,Percentage
0-4,Female,2.5
0-4,Male,2.7
10-14,Female,3.3
10-14,Male,3.5
100+,Female,0.1
100+,Male,0.0
15-19,Female,3.4
15-19,Male,3.6
20-24,Female,3.5
20-24,Male,3.7
25-29,Female,3.7
25-29,Male,3.8
30-34,Female,3.5
30-34,Male,3.7
35-39,Female,3.3
35-39,Male,3.4
40-44,Female,3.2
40-44,Male,3.1
45-49,Female,3.4
45-49,Male,3.3
5-9,Female,3.2
5-9,Male,3.4
50-54,Female,3.0
50-54,Male,2.9
55-59,Female,3.0
55-59,Male,2.8
60-64,Female,2.8
60-64,Male,2.5
65-69,Female,2.5
65-69,Male,2.1
70-74,Female,2.1
70-74,Male,1.6
75-79,Female,1.8
75-79,Male,1.1
80-84,Female,1.4
80-84,Male,0.8
85-89,Female,1.0
85-89,Male,0.4
90-94,Female,0.6
90-94,Male,0.2
95-99,Female,0.2
95-99,Male,0.0
