Category_1,Category_2,Percentage
0-4,Female,5.1
0-4,Male,5.4
10-14,Female,4.5
10-14,Male,4.7
15-19,Female,3.6
15-19,Male,3.8
20-24,Female,2.9
20-24,Male,3.0
25-29,Female,3.2
25-29,Male,3.3
30-34,Female,3.9
30-34,Male,3.9
35-39,Female,3.8
35-39,Male,3.8
40-44,Female,3.3
40-44,Male,3.2
45-49,Female,3.0
45-49,Male,2.8
5-9,Female,4.9
5-9,Male,5.0
50-54,Female,2.8
50-54,Male,2.5
55-59,Female,2.6
55-59,Male,2.3
60-64,Female,2.5
60-64,Male,2.0
65-69,Female,2.1
65-69,Male,1.5
70-74,Female,1.4
70-74,Male,0.9
75-79,Female,0.7
75-79,Male,0.3
80-84,Female,0.6
80-84,Male,0.2
85+,Female,0.5
85+,Male,0.1
