Category_1,Category_2,Percentage
0-4,Female,2.2
0-4,Male,2.4
10-14,Female,2.2
10-14,Male,2.3
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.2
15-19,Male,2.3
20-24,Female,2.4
20-24,Male,2.6
25-29,Female,2.8
25-29,Male,3.0
30-34,Female,3.1
30-34,Male,3.3
35-39,Female,3.2
35-39,Male,3.3
40-44,Female,3.1
40-44,Male,3.2
45-49,Female,2.9
45-49,Male,2.9
5-9,Female,2.3
5-9,Male,2.5
50-54,Female,3.5
50-54,Male,3.5
55-59,Female,4.1
55-59,Male,4.1
60-64,Female,3.8
60-64,Male,3.7
65-69,Female,3.2
65-69,Male,3.0
70-74,Female,2.8
70-74,Male,2.4
75-79,Female,2.1
75-79,Male,1.7
80-84,Female,2.3
80-84,Male,1.7
85-89,Female,1.5
85-89,Male,0.9
90-94,Female,0.6
90-94,Male,0.3
95-99,Female,0.2
95-99,Male,0.0
