Category_1,Category_2,Percentage
0-4,Female,1.5
0-4,Male,1.6
10-14,Female,2.0
10-14,Male,2.0
100+,Female,0.1
100+,Male,0.0
15-19,Female,1.9
15-19,Male,1.9
20-24,Female,2.0
20-24,Male,2.0
25-29,Female,3.0
25-29,Male,2.7
30-34,Female,3.9
30-34,Male,3.0
35-39,Female,4.6
35-39,Male,3.0
40-44,Female,4.9
40-44,Male,3.1
45-49,Female,4.6
45-49,Male,3.1
5-9,Female,1.8
5-9,Male,1.8
50-54,Female,4.6
50-54,Male,3.2
55-59,Female,4.4
55-59,Male,3.5
60-64,Female,4.4
60-64,Male,3.9
65-69,Female,3.8
65-69,Male,3.5
70-74,Female,2.9
70-74,Male,2.7
75-79,Female,1.7
75-79,Male,1.6
80-84,Female,1.1
80-84,Male,1.1
85-89,Female,1.0
85-89,Male,0.8
90-94,Female,0.6
90-94,Male,0.4
95-99,Female,0.3
95-99,Male,0.1
